singer,singerLabel
http://www.wikidata.org/entity/Q201927,डेविड हैसलहोफ
http://www.wikidata.org/entity/Q202765,केट विंसलेट
http://www.wikidata.org/entity/Q425728,नारायण गोपाल
http://www.wikidata.org/entity/Q422799,तारादेवी श्रेष्ठ
http://www.wikidata.org/entity/Q422838,सुरिन्दर कौर
http://www.wikidata.org/entity/Q255233,गूगूश
http://www.wikidata.org/entity/Q205707,ब्रैडली कूपर
http://www.wikidata.org/entity/Q369292,थॉमस डेकर
http://www.wikidata.org/entity/Q206856,एंजेला लांसबरी
http://www.wikidata.org/entity/Q207873,मैरी एलिज़ाबेथ विनस्टेड
http://www.wikidata.org/entity/Q455588,आनी चोयिंग डोल्मा
http://www.wikidata.org/entity/Q470416,गीता दत्त
http://www.wikidata.org/entity/Q470898,सोनू निगम
http://www.wikidata.org/entity/Q259379,अनुष्का शंकर
http://www.wikidata.org/entity/Q471542,किशोर कुमार
http://www.wikidata.org/entity/Q472051,ग्लेन फ्रे
http://www.wikidata.org/entity/Q212772,शेरिल कोल
http://www.wikidata.org/entity/Q533341,महालक्ष्मी अय्यर
http://www.wikidata.org/entity/Q482907,ब्रायन एडम्स
http://www.wikidata.org/entity/Q481832,एमी एडम्स
http://www.wikidata.org/entity/Q215219,जोजो
http://www.wikidata.org/entity/Q214831,डेविड आर्चुलेटा
http://www.wikidata.org/entity/Q215215,जॉन मेयर
http://www.wikidata.org/entity/Q483907,जैक ब्लैक
http://www.wikidata.org/entity/Q539711,शोभा गुर्टू
http://www.wikidata.org/entity/Q485901,जेम्स मार्सडेन
http://www.wikidata.org/entity/Q485298,गिलियन एंडरसन
http://www.wikidata.org/entity/Q485310,निल पैट्रिक हैरिस
http://www.wikidata.org/entity/Q486455,सोंग सेंग-हॉन
http://www.wikidata.org/entity/Q218992,नेली
http://www.wikidata.org/entity/Q440898,ग्रेगरी इसहाक
http://www.wikidata.org/entity/Q221155,टी-पैन
http://www.wikidata.org/entity/Q544036,रूना लैला
http://www.wikidata.org/entity/Q543235,अज़रा कोलाकोवीक
http://www.wikidata.org/entity/Q221310,सुंदर
http://www.wikidata.org/entity/Q463902,जीनिवीव नाजी
http://www.wikidata.org/entity/Q464185,दलेर मेंहदी
http://www.wikidata.org/entity/Q464887,डी के पट्टम्माल
http://www.wikidata.org/entity/Q465067,एम. एस. सुब्बुलक्ष्मी
http://www.wikidata.org/entity/Q550778,जॉन डी लैंसी
http://www.wikidata.org/entity/Q464645,बाइ सुजि
http://www.wikidata.org/entity/Q549981,नोराह जोन्स
http://www.wikidata.org/entity/Q642827,अल्लू अर्जुन
http://www.wikidata.org/entity/Q465848,मीना कुमारी
http://www.wikidata.org/entity/Q465863,शबाना आज़मी
http://www.wikidata.org/entity/Q651785,हाइफ़ा वेहबे
http://www.wikidata.org/entity/Q497785,पार्क शिन-हाय
http://www.wikidata.org/entity/Q498019,रिचर्ड सीमन्स
http://www.wikidata.org/entity/Q555778,बाबुल सुप्रियो
http://www.wikidata.org/entity/Q731422,गंगूबाई हंगल
http://www.wikidata.org/entity/Q466683,चाइना
http://www.wikidata.org/entity/Q466826,अलका याज्ञनिक
http://www.wikidata.org/entity/Q466955,नूर जहाँ
http://www.wikidata.org/entity/Q666495,त्रिलोक गुर्टू
http://www.wikidata.org/entity/Q505476,अवीचि
http://www.wikidata.org/entity/Q467315,कविता कृष्णमूर्ति
http://www.wikidata.org/entity/Q467423,रॉबिन थिक
http://www.wikidata.org/entity/Q560642,बुजू बंटन
http://www.wikidata.org/entity/Q508049,एज्रा मिलर
http://www.wikidata.org/entity/Q741679,फ़रहाद दरया
http://www.wikidata.org/entity/Q468356,अली अक़बर ख़ाँ
http://www.wikidata.org/entity/Q562603,अन्ना मुथेसियस
http://www.wikidata.org/entity/Q696991,सिंडी वांग
http://www.wikidata.org/entity/Q755830,आतिफ़ असलम
http://www.wikidata.org/entity/Q469818,उदित नारायण
http://www.wikidata.org/entity/Q760489,आयशा उमर
http://www.wikidata.org/entity/Q580736,अरुणा लाम्बा
http://www.wikidata.org/entity/Q704859,अरशद वारसी
http://www.wikidata.org/entity/Q520001,सैम राइली
http://www.wikidata.org/entity/Q590853,फरहान अख्तर
http://www.wikidata.org/entity/Q614907,सोनाक्षी सिन्हा
http://www.wikidata.org/entity/Q606577,ओल्गा शाहकेबेटे
http://www.wikidata.org/entity/Q528496,जोसेफ़ विजय
http://www.wikidata.org/entity/Q612167,अनु मलिक
http://www.wikidata.org/entity/Q619328,अपोल्लोनिया कोटेरो
http://www.wikidata.org/entity/Q944278,माइकल रुदअस
http://www.wikidata.org/entity/Q1190439,प्रभू देवा
http://www.wikidata.org/entity/Q712611,सनम सईद
http://www.wikidata.org/entity/Q712860,क्रिस मार्टिन
http://www.wikidata.org/entity/Q949606,सोनू कक्कड़
http://www.wikidata.org/entity/Q855128,भुपेन हजारिका
http://www.wikidata.org/entity/Q716849,सुंग जू यिंग
