person,personLabel
http://www.wikidata.org/entity/Q422799,तारादेवी श्रेष्ठ
http://www.wikidata.org/entity/Q227129,ज़ोइ क्राविट्ज़
http://www.wikidata.org/entity/Q153708,इरोस रामाज़ोटी
http://www.wikidata.org/entity/Q312610,सल्वाटोर एडमो
http://www.wikidata.org/entity/Q483907,जैक ब्लैक
http://www.wikidata.org/entity/Q485901,जेम्स मार्सडेन
http://www.wikidata.org/entity/Q520001,सैम राइली
http://www.wikidata.org/entity/Q543235,अज़रा कोलाकोवीक
http://www.wikidata.org/entity/Q606577,ओल्गा शाहकेबेटे
http://www.wikidata.org/entity/Q848556,डैकामान
http://www.wikidata.org/entity/Q1395448,कुन्दन लाल सहगल
http://www.wikidata.org/entity/Q1647148,कोसतास मरताकिस
http://www.wikidata.org/entity/Q2040478,रागेश्वरी
http://www.wikidata.org/entity/Q2049827,मेघा
http://www.wikidata.org/entity/Q2050197,पी सुशीला
http://www.wikidata.org/entity/Q2050280,श्वेता मोहन
http://www.wikidata.org/entity/Q2050320,ममता मोहनदास
http://www.wikidata.org/entity/Q2153541,जोहान वान बीथोवेन
http://www.wikidata.org/entity/Q2367593,मुकेश
http://www.wikidata.org/entity/Q370864,जेफ्फ्री स्टार
http://www.wikidata.org/entity/Q485298,गिलियन एंडरसन
http://www.wikidata.org/entity/Q542681,नारदा माइकल वाल्डेन
http://www.wikidata.org/entity/Q549981,नोराह जोन्स
http://www.wikidata.org/entity/Q590853,फरहान अख्तर
http://www.wikidata.org/entity/Q614907,सोनाक्षी सिन्हा
http://www.wikidata.org/entity/Q642827,अल्लू अर्जुन
http://www.wikidata.org/entity/Q844174,ममी किंगेटु
http://www.wikidata.org/entity/Q1362169,एग्नेस मोनिका
http://www.wikidata.org/entity/Q1362745,केविन लिटल
http://www.wikidata.org/entity/Q1391295,कैलाश खेर
http://www.wikidata.org/entity/Q1736480,सलमा आग़ा
http://www.wikidata.org/entity/Q1978163,निकोलाइ नोस्कोव
http://www.wikidata.org/entity/Q2049494,शंकर महादेवन
http://www.wikidata.org/entity/Q2049887,महेबुब
http://www.wikidata.org/entity/Q2205526,जेसिका ड्रागोनेट्टे
http://www.wikidata.org/entity/Q2426558,जसराज
http://www.wikidata.org/entity/Q380799,मैट पोकोरा
http://www.wikidata.org/entity/Q381477,कमल हासन
http://www.wikidata.org/entity/Q383541,बॉसहंटर
http://www.wikidata.org/entity/Q455625,एवर्ट तौबे
http://www.wikidata.org/entity/Q485310,निल पैट्रिक हैरिस
http://www.wikidata.org/entity/Q486455,सोंग सेंग-हॉन
http://www.wikidata.org/entity/Q505476,अवीचि
http://www.wikidata.org/entity/Q539885,एस. वरलक्ष्मी
http://www.wikidata.org/entity/Q544036,रूना लैला
http://www.wikidata.org/entity/Q619328,अपोल्लोनिया कोटेरो
http://www.wikidata.org/entity/Q716849,सुंग जू यिंग
http://www.wikidata.org/entity/Q855128,भुपेन हजारिका
http://www.wikidata.org/entity/Q944278,माइकल रुदअस
http://www.wikidata.org/entity/Q1008702,ग़ज़ल जावेद
http://www.wikidata.org/entity/Q1154179,नाओतो तकनका
http://www.wikidata.org/entity/Q1250743,अदनान सामी
http://www.wikidata.org/entity/Q1570444,त्रिचूर वी। रामचंद्रन
http://www.wikidata.org/entity/Q1660487,इमरान ख़ान (गायक)
http://www.wikidata.org/entity/Q2048481,अनुपमा
http://www.wikidata.org/entity/Q2049641,मधु बालकृष्ण
http://www.wikidata.org/entity/Q355748,महमूद
http://www.wikidata.org/entity/Q356140,बेन ई. किंग
http://www.wikidata.org/entity/Q383197,जिञटरा फूणलाप
http://www.wikidata.org/entity/Q541607,एम.एल. वसन्तकुमारी
http://www.wikidata.org/entity/Q648359,फ्रांकी जोनास
http://www.wikidata.org/entity/Q696991,सिंडी वांग
http://www.wikidata.org/entity/Q712860,क्रिस मार्टिन
http://www.wikidata.org/entity/Q962604,चिप टेलर
http://www.wikidata.org/entity/Q984634,सिंगनल्लूर पुट्टस्वामैया मुत्तुराज राजकुमार
http://www.wikidata.org/entity/Q1758790,एमीलिया वेगा
http://www.wikidata.org/entity/Q2048901,अचु रजमानी
http://www.wikidata.org/entity/Q2049183,रंजीथ
http://www.wikidata.org/entity/Q2049451,पी. माधुरी
http://www.wikidata.org/entity/Q2051296,एस जानकी
http://www.wikidata.org/entity/Q528496,जोसेफ़ विजय
http://www.wikidata.org/entity/Q611788,मौसमी भौमिक
http://www.wikidata.org/entity/Q651785,हाइफ़ा वेहबे
http://www.wikidata.org/entity/Q704859,अरशद वारसी
http://www.wikidata.org/entity/Q734574,दिलीपकुमार रॉय
http://www.wikidata.org/entity/Q755830,आतिफ़ असलम
http://www.wikidata.org/entity/Q760489,आयशा उमर
http://www.wikidata.org/entity/Q1320080,केन शिमुऱा
http://www.wikidata.org/entity/Q1387724,युवान शंकर राजा
http://www.wikidata.org/entity/Q1678225,जाफर हुसैन खान
http://www.wikidata.org/entity/Q1752094,साथिया प्रकाश
http://www.wikidata.org/entity/Q1827274,समीरा तेवफिक
http://www.wikidata.org/entity/Q2049307,कवियुर रेवाम्मा
http://www.wikidata.org/entity/Q2050005,सैनोज
http://www.wikidata.org/entity/Q2279537,शिव दयाल बातिश
http://www.wikidata.org/entity/Q2391534,नादिया मीखर
http://www.wikidata.org/entity/Q2645613,बायरन ली
http://www.wikidata.org/entity/Q2841613,विकास भल्ला
http://www.wikidata.org/entity/Q351670,को कोमिटस
http://www.wikidata.org/entity/Q369292,थॉमस डेकर
http://www.wikidata.org/entity/Q440898,ग्रेगरी इसहाक
http://www.wikidata.org/entity/Q454572,कैथरीन बैलेस
http://www.wikidata.org/entity/Q533341,महालक्ष्मी अय्यर
http://www.wikidata.org/entity/Q539711,शोभा गुर्टू
http://www.wikidata.org/entity/Q612167,अनु मलिक
http://www.wikidata.org/entity/Q741679,फ़रहाद दरया
http://www.wikidata.org/entity/Q1395430,हिमेश रेशमिया
http://www.wikidata.org/entity/Q1623076,ओक्साना फ़ेदरोवा
http://www.wikidata.org/entity/Q1641056,क्रिशना दास
http://www.wikidata.org/entity/Q1971366,सोहराब हुसैन
http://www.wikidata.org/entity/Q2044389,त्यागराज
http://www.wikidata.org/entity/Q2049688,एस॰ पी॰ बालासुब्रमण्यम
http://www.wikidata.org/entity/Q2051231,हरिहरन
http://www.wikidata.org/entity/Q2051440,ए.पी. कोमला
http://www.wikidata.org/entity/Q2216799,वर्षा भोसले
http://www.wikidata.org/entity/Q2424994,रॉजर अलॅम
http://www.wikidata.org/entity/Q2602601,विष्णु दिगंबर पलुस्कर
http://www.wikidata.org/entity/Q2843494,उस्ताद अमीर खान
http://www.wikidata.org/entity/Q380147,लकी दूबे
http://www.wikidata.org/entity/Q455588,आनी चोयिंग डोल्मा
http://www.wikidata.org/entity/Q469818,उदित नारायण
http://www.wikidata.org/entity/Q521717,मारियाना सदोवस्का
http://www.wikidata.org/entity/Q540496,गरिकपाटी वरलक्ष्मी
http://www.wikidata.org/entity/Q580736,अरुणा लाम्बा
http://www.wikidata.org/entity/Q641384,उमा मोहन
http://www.wikidata.org/entity/Q731422,गंगूबाई हंगल
http://www.wikidata.org/entity/Q946921,आजम खान
http://www.wikidata.org/entity/Q963396,वैलेंटाइन एलिसाल्डे
http://www.wikidata.org/entity/Q1022556,सी॰ रामचन्द्र
http://www.wikidata.org/entity/Q1752193,निखिल माथव
http://www.wikidata.org/entity/Q2048734,बी॰ अरुंधति
http://www.wikidata.org/entity/Q2048801,गायत्री अशोकन
http://www.wikidata.org/entity/Q2048851,ए .एम्. राजह
http://www.wikidata.org/entity/Q2049373,रोशिनी
http://www.wikidata.org/entity/Q2049922,चिनमयी
http://www.wikidata.org/entity/Q2050167,मालगाड़ी सुभा
http://www.wikidata.org/entity/Q2050240,स्वर्णालथा
http://www.wikidata.org/entity/Q2353139,असाला नासरी
http://www.wikidata.org/entity/Q2383234,टी। ए। एस। मणि
http://www.wikidata.org/entity/Q538409,jc chasez
http://www.wikidata.org/entity/Q555778,बाबुल सुप्रियो
http://www.wikidata.org/entity/Q642477,बूबा
http://www.wikidata.org/entity/Q666495,त्रिलोक गुर्टू
http://www.wikidata.org/entity/Q712611,सनम सईद
http://www.wikidata.org/entity/Q949606,सोनू कक्कड़
http://www.wikidata.org/entity/Q981797,सुल्तान खान
http://www.wikidata.org/entity/Q1190439,प्रभू देवा
http://www.wikidata.org/entity/Q1393912,टोनी रेबेल
http://www.wikidata.org/entity/Q1397628,ओ॰ पी॰ नय्यर
http://www.wikidata.org/entity/Q1884754,महा चक्री सिरिनधर
http://www.wikidata.org/entity/Q2048352,सुजाता मोहन
http://www.wikidata.org/entity/Q2049562,मंजारी बाबू
http://www.wikidata.org/entity/Q2049982,उण्णिमेनोन
http://www.wikidata.org/entity/Q2051208,चैत्रा एच्. जी.
http://www.wikidata.org/entity/Q2051388,कोजहिकोडे अब्दुल कादेर
http://www.wikidata.org/entity/Q2172176,कव्वाल बहाउद्दीन खान
http://www.wikidata.org/entity/Q497785,पार्क शिन-हाय
http://www.wikidata.org/entity/Q550778,जॉन डी लैंसी
http://www.wikidata.org/entity/Q498019,रिचर्ड सीमन्स
http://www.wikidata.org/entity/Q2232311,एमिको शिरातोरी
http://www.wikidata.org/entity/Q519821,मामोरू मियानो
http://www.wikidata.org/entity/Q985897,रीहो ईडा
http://www.wikidata.org/entity/Q1705928,अजय पोहनकर
http://www.wikidata.org/entity/Q2050056,साधना सरगम
http://www.wikidata.org/entity/Q2050534,मोहनलाल
http://www.wikidata.org/entity/Q2051059,बीजू नारायणन
http://www.wikidata.org/entity/Q2051655,सुरेश पेटर्स
http://www.wikidata.org/entity/Q2051710,एना कैथरीना वलाईल
http://www.wikidata.org/entity/Q2723980,फाल्गुनी पाठक
http://www.wikidata.org/entity/Q2725555,सती नूरलिजा
http://www.wikidata.org/entity/Q2880506,एम. बालामुरलीकृष्ण
http://www.wikidata.org/entity/Q2892422,पन्नालाल भट्टाचार्य
http://www.wikidata.org/entity/Q2917376,मोहित चौहान
http://www.wikidata.org/entity/Q3046972,Ángel
